id_cliente,nome,cidade,estado,segmento,data_cadastro
1,Cliente 0001,Recife,PE,Atacado,2025-12-14
2,Cliente 0002,São Paulo,SP,Corporativo,2025-07-10
3,Cliente 0003,São Paulo,SP,Varejo,2025-10-21
4,Cliente 0004,Fortaleza,CE,Corporativo,2025-07-23
5,Cliente 0005,Maceió,AL,Corporativo,2025-05-08
6,Cliente 0006,Salvador,BA,Varejo,2025-04-06
7,Cliente 0007,São Paulo,SP,Serviços,2025-10-15
8,Cliente 0008,Salvador,BA,Corporativo,2025-05-14
9,Cliente 0009,Florianópolis,SC,Serviços,2025-04-20
10,Cliente 0010,Belo Horizonte,MG,Corporativo,2025-12-22
11,Cliente 0011,Brasília,DF,Serviços,2025-04-13
12,Cliente 0012,Salvador,BA,Atacado,2025-02-07
13,Cliente 0013,São Paulo,SP,Atacado,2025-08-16
14,Cliente 0014,Salvador,BA,Corporativo,2025-12-08
15,Cliente 0015,Maceió,AL,Varejo,2025-10-09
16,Cliente 0016,Rio de Janeiro,RJ,Corporativo,2025-06-03
17,Cliente 0017,Goiânia,GO,Atacado,2025-12-31
18,Cliente 0018,Florianópolis,SC,Atacado,2025-07-05
19,Cliente 0019,Rio de Janeiro,RJ,Atacado,2025-03-04
20,Cliente 0020,João Pessoa,PB,Atacado,2025-05-02
21,Cliente 0021,Porto Alegre,RS,Serviços,2025-01-14
22,Cliente 0022,Maceió,AL,Corporativo,2025-08-28
23,Cliente 0023,Porto Alegre,RS,Atacado,2025-11-10
24,Cliente 0024,Brasília,DF,Varejo,2025-02-03
25,Cliente 0025,Natal,RN,Serviços,2025-09-03
26,Cliente 0026,Rio de Janeiro,RJ,Serviços,2025-07-29
27,Cliente 0027,Goiânia,GO,Varejo,2025-03-06
28,Cliente 0028,Maceió,AL,Varejo,2025-08-19
29,Cliente 0029,São Paulo,SP,Corporativo,2025-03-07
30,Cliente 0030,Brasília,DF,Atacado,2025-03-08
31,Cliente 0031,Aracaju,SE,Varejo,2025-03-05
32,Cliente 0032,Rio de Janeiro,RJ,Atacado,2025-06-05
33,Cliente 0033,Fortaleza,CE,Atacado,2025-06-15
34,Cliente 0034,Brasília,DF,Atacado,2025-06-27
35,Cliente 0035,Rio de Janeiro,RJ,Corporativo,2025-02-10
36,Cliente 0036,Natal,RN,Atacado,2025-11-22
37,Cliente 0037,Rio de Janeiro,RJ,Corporativo,2025-03-06
38,Cliente 0038,Curitiba,PR,Corporativo,2025-11-11
39,Cliente 0039,Rio de Janeiro,RJ,Varejo,2025-09-15
40,Cliente 0040,Curitiba,PR,Atacado,2025-10-31
41,Cliente 0041,Belo Horizonte,MG,Atacado,2025-03-29
42,Cliente 0042,Curitiba,PR,Corporativo,2025-10-16
43,Cliente 0043,Recife,PE,Varejo,2025-02-11
44,Cliente 0044,Recife,PE,Corporativo,2025-11-30
45,Cliente 0045,João Pessoa,PB,Serviços,2025-11-13
46,Cliente 0046,Curitiba,PR,Varejo,2025-09-12
47,Cliente 0047,Brasília,DF,Corporativo,2025-11-25
48,Cliente 0048,Natal,RN,Serviços,2025-05-06
49,Cliente 0049,Porto Alegre,RS,Serviços,2025-06-02
50,Cliente 0050,São Paulo,SP,Varejo,2025-12-19
51,Cliente 0051,Recife,PE,Atacado,2025-08-14
52,Cliente 0052,Aracaju,SE,Serviços,2025-08-26
53,Cliente 0053,João Pessoa,PB,Corporativo,2025-11-07
54,Cliente 0054,Fortaleza,CE,Corporativo,2025-06-13
55,Cliente 0055,Florianópolis,SC,Corporativo,2025-07-24
56,Cliente 0056,Fortaleza,CE,Corporativo,2025-09-21
57,Cliente 0057,Rio de Janeiro,RJ,Varejo,2025-06-13
58,Cliente 0058,João Pessoa,PB,Serviços,2025-03-04
59,Cliente 0059,Natal,RN,Serviços,2025-05-07
60,Cliente 0060,Fortaleza,CE,Varejo,2025-01-26
61,Cliente 0061,Natal,RN,Serviços,2025-11-12
62,Cliente 0062,Aracaju,SE,Atacado,2025-03-23
63,Cliente 0063,Goiânia,GO,Corporativo,2025-10-23
64,Cliente 0064,Florianópolis,SC,Corporativo,2025-04-08
65,Cliente 0065,Porto Alegre,RS,Atacado,2025-09-13
66,Cliente 0066,Rio de Janeiro,RJ,Serviços,2025-09-13
67,Cliente 0067,Brasília,DF,Corporativo,2025-09-12
68,Cliente 0068,Recife,PE,Varejo,2025-07-21
69,Cliente 0069,Rio de Janeiro,RJ,Serviços,2025-05-04
70,Cliente 0070,João Pessoa,PB,Corporativo,2025-01-25
71,Cliente 0071,Recife,PE,Corporativo,2025-09-11
72,Cliente 0072,Belo Horizonte,MG,Serviços,2025-05-27
73,Cliente 0073,Rio de Janeiro,RJ,Varejo,2025-02-25
74,Cliente 0074,Aracaju,SE,Atacado,2025-05-16
