id_produto,produto,categoria,custo,preco
1,Informática Produto 001,Informática,59.64,78.43
2,Móveis Produto 002,Móveis,264.08,319.93
3,Informática Produto 003,Informática,1069.03,1249.77
4,Informática Produto 004,Informática,405.27,588.94
5,Eletrônicos Produto 005,Eletrônicos,1016.82,1606.18
6,Software Produto 006,Software,408.49,614.19
7,Eletrônicos Produto 007,Eletrônicos,1369.47,1706.08
8,Software Produto 008,Software,622.35,773.76
9,Periféricos Produto 009,Periféricos,197.45,272.08
10,Periféricos Produto 010,Periféricos,1527.78,2310.36
11,Eletrônicos Produto 011,Eletrônicos,1317.57,1939.12
12,Software Produto 012,Software,155.66,206.39
13,Periféricos Produto 013,Periféricos,1045.57,1644.41
14,Eletrônicos Produto 014,Eletrônicos,1195.36,1929.12
15,Informática Produto 015,Informática,1541.74,2574.54
16,Software Produto 016,Software,511.18,782.83
17,Periféricos Produto 017,Periféricos,305.34,416.23
18,Acessórios Produto 018,Acessórios,1267.75,1977.85
19,Informática Produto 019,Informática,1102.3,1380.83
20,Móveis Produto 020,Móveis,306.67,422.49
21,Móveis Produto 021,Móveis,1237.04,2048.18
22,Eletrônicos Produto 022,Eletrônicos,423.85,495.59
23,Periféricos Produto 023,Periféricos,731.08,869.78
24,Periféricos Produto 024,Periféricos,394.54,571.9
25,Telefonia Produto 025,Telefonia,270.03,333.16
26,Acessórios Produto 026,Acessórios,1348.42,1897.31
27,Software Produto 027,Software,661.16,1155.97
28,Escritório Produto 028,Escritório,924.5,1113.6
29,Eletrônicos Produto 029,Eletrônicos,1552.07,1927.21
30,Escritório Produto 030,Escritório,1428.86,2005.11
31,Informática Produto 031,Informática,701.81,1058.0
32,Telefonia Produto 032,Telefonia,959.47,1662.42
33,Eletrônicos Produto 033,Eletrônicos,1229.31,1498.2
34,Acessórios Produto 034,Acessórios,1386.95,1878.08
35,Acessórios Produto 035,Acessórios,791.06,1125.07
36,Acessórios Produto 036,Acessórios,1749.82,2812.27
37,Informática Produto 037,Informática,1568.88,2085.15
38,Móveis Produto 038,Móveis,287.82,462.67
39,Eletrônicos Produto 039,Eletrônicos,1084.12,1564.56
40,Informática Produto 040,Informática,1673.44,2806.75
41,Acessórios Produto 041,Acessórios,442.42,572.72
42,Informática Produto 042,Informática,167.89,242.03
43,Informática Produto 043,Informática,1760.7,2587.57
44,Escritório Produto 044,Escritório,244.18,350.44
45,Escritório Produto 045,Escritório,488.13,816.87
46,Software Produto 046,Software,1736.39,2964.62
47,Móveis Produto 047,Móveis,1287.61,1789.0
48,Periféricos Produto 048,Periféricos,797.01,1164.07
49,Informática Produto 049,Informática,457.51,543.71
50,Eletrônicos Produto 050,Eletrônicos,1065.13,1371.96
51,Móveis Produto 051,Móveis,27.84,43.84
52,Eletrônicos Produto 052,Eletrônicos,423.66,717.36
53,Periféricos Produto 053,Periféricos,141.48,182.91
54,Telefonia Produto 054,Telefonia,397.41,488.57
55,Telefonia Produto 055,Telefonia,448.75,643.41
56,Software Produto 056,Software,354.88,428.75
57,Software Produto 057,Software,647.42,904.23
58,Eletrônicos Produto 058,Eletrônicos,1216.96,2118.12
59,Informática Produto 059,Informática,123.19,195.49
60,Informática Produto 060,Informática,458.85,580.04
61,Telefonia Produto 061,Telefonia,265.23,334.21
62,Telefonia Produto 062,Telefonia,460.9,785.35
63,Telefonia Produto 063,Telefonia,1457.32,2424.37
64,Informática Produto 064,Informática,105.3,184.23
65,Eletrônicos Produto 065,Eletrônicos,1744.66,2976.08
66,Móveis Produto 066,Móveis,311.87,449.52
67,Móveis Produto 067,Móveis,1558.4,2635.98
68,Escritório Produto 068,Escritório,691.47,1203.98
69,Acessórios Produto 069,Acessórios,1668.83,2705.3
70,Acessórios Produto 070,Acessórios,770.07,1327.9
71,Telefonia Produto 071,Telefonia,291.31,386.87
72,Eletrônicos Produto 072,Eletrônicos,1048.84,1547.37
73,Periféricos Produto 073,Periféricos,117.04,175.62
74,Escritório Produto 074,Escritório,116.53,169.52
75,Escritório Produto 075,Escritório,137.31,163.51
76,Móveis Produto 076,Móveis,735.74,1261.76
77,Móveis Produto 077,Móveis,1048.37,1230.62
78,Informática Produto 078,Informática,763.32,1145.14
79,Periféricos Produto 079,Periféricos,1683.45,2142.28
80,Periféricos Produto 080,Periféricos,441.05,611.94
81,Acessórios Produto 081,Acessórios,831.15,1419.11
82,Informática Produto 082,Informática,31.63,48.16
83,Informática Produto 083,Informática,145.77,186.28
84,Acessórios Produto 084,Acessórios,251.43,341.8
85,Informática Produto 085,Informática,1584.5,2173.48
86,Escritório Produto 086,Escritório,797.16,1176.55
87,Acessórios Produto 087,Acessórios,1106.84,1928.49
88,Eletrônicos Produto 088,Eletrônicos,1207.14,1789.9
89,Informática Produto 089,Informática,1690.99,2080.89
90,Informática Produto 090,Informática,1603.14,2557.73
91,Escritório Produto 091,Escritório,501.14,758.17
92,Periféricos Produto 092,Periféricos,378.42,579.19
93,Acessórios Produto 093,Acessórios,917.16,1192.93
94,Eletrônicos Produto 094,Eletrônicos,179.75,252.4
95,Acessórios Produto 095,Acessórios,93.69,126.49
