id_venda,id_cliente,id_vendedor,data_venda,forma_pagamento,status
1,47,3,2025-07-03,Pix,Concluída
2,765,13,2025-10-07,Cartão,Concluída
3,313,7,2025-06-26,Transferência,Concluída
4,688,8,2025-02-21,Pix,Concluída
5,324,14,2025-03-28,Boleto,Concluída
6,368,10,2025-09-07,Pix,Concluída
7,752,3,2025-02-08,Pix,Concluída
8,679,8,2025-11-11,Cartão,Concluída
9,903,2,2025-01-21,Boleto,Concluída
10,558,19,2025-03-31,Transferência,Concluída
11,619,1,2025-09-14,Transferência,Concluída
12,677,8,2025-08-01,Pix,Concluída
13,185,17,2025-07-27,Pix,Concluída
14,187,20,2025-12-04,Boleto,Concluída
15,112,1,2025-04-14,Transferência,Concluída
16,771,4,2025-02-17,Cartão,Concluída
17,613,18,2025-07-29,Cartão,Concluída
18,8,13,2025-12-02,Boleto,Concluída
19,496,9,2025-06-07,Boleto,Concluída
20,6,3,2025-03-16,Transferência,Concluída
21,39,13,2025-07-25,Boleto,Concluída
22,410,12,2025-12-09,Transferência,Concluída
23,516,10,2025-06-24,Boleto,Concluída
24,694,8,2025-06-11,Boleto,Concluída
25,754,8,2025-05-16,Cartão,Concluída
26,629,1,2025-10-05,Transferência,Concluída
27,490,18,2025-01-17,Boleto,Concluída
28,562,9,2025-05-02,Transferência,Concluída
29,201,5,2025-03-18,Pix,Concluída
30,576,19,2025-01-25,Pix,Concluída
31,369,18,2025-10-13,Boleto,Concluída
32,621,7,2025-10-23,Cartão,Concluída
33,951,11,2025-08-04,Transferência,Concluída
34,669,10,2025-12-30,Transferência,Concluída
35,258,3,2025-04-18,Transferência,Concluída
36,56,1,2025-07-23,Pix,Concluída
37,400,10,2025-04-28,Boleto,Concluída
38,767,19,2025-08-11,Boleto,Concluída
39,9,16,2025-09-02,Pix,Concluída
40,783,20,2025-12-22,Boleto,Concluída
41,638,16,2025-04-07,Pix,Concluída
42,9,8,2025-02-16,Pix,Concluída
43,918,9,2025-07-15,Pix,Concluída
44,534,7,2025-08-31,Boleto,Concluída
45,683,7,2025-02-27,Transferência,Concluída
46,790,3,2025-05-08,Transferência,Concluída
47,641,2,2025-01-31,Cartão,Concluída
48,502,7,2025-10-18,Boleto,Concluída
49,389,6,2025-01-10,Boleto,Concluída
50,498,7,2025-02-20,Transferência,Concluída
51,572,14,2025-07-08,Pix,Concluída
52,591,12,2025-12-12,Transferência,Concluída
53,674,6,2025-10-01,Transferência,Concluída
54,785,18,2025-05-11,Transferência,Concluída
55,707,9,2025-10-11,Cartão,Concluída
56,376,19,2025-05-08,Boleto,Concluída
57,749,19,2025-07-15,Pix,Concluída
58,56,10,2025-09-26,Boleto,Concluída
59,409,9,2025-02-13,Transferência,Concluída
60,537,8,2025-05-05,Boleto,Concluída
61,453,20,2025-03-16,Pix,Concluída
62,972,20,2025-03-17,Pix,Concluída
63,145,1,2025-07-12,Pix,Concluída
64,873,12,2025-02-25,Boleto,Concluída
65,342,16,2025-07-21,Cartão,Cancelada
66,514,9,2025-02-01,Boleto,Concluída
67,437,10,2025-11-06,Transferência,Concluída
68,150,1,2025-06-13,Transferência,Concluída
69,611,8,2025-04-29,Pix,Concluída
70,198,8,2025-01-17,Pix,Concluída
71,438,13,2025-01-22,Transferência,Concluída
72,397,17,2025-11-19,Cartão,Concluída
73,475,15,2025-02-16,Pix,Cancelada
74,730,7,2025-08-21,Boleto,Concluída
75,811,17,2025-11-10,Transferência,Concluída
76,784,9,2025-01-07,Transferência,Concluída
77,669,12,2025-01-19,Pix,Concluída
78,840,3,2025-08-07,Pix,Concluída
79,542,3,2025-09-05,Boleto,Cancelada
80,2,4,2025-01-13,Pix,Concluída
81,289,9,2025-02-04,Boleto,Concluída
82,886,18,2025-06-21,Transferência,Concluída
83,569,18,2025-01-10,Boleto,Concluída
84,802,10,2025-12-28,Pix,Concluída
85,207,3,2025-08-16,Pix,Concluída
86,397,17,2025-03-01,Boleto,Concluída
87,106,17,2025-12-04,Boleto,Cancelada
88,206,7,2025-05-27,Boleto,Concluída
89,319,20,2025-06-23,Transferência,Concluída
90,109,13,2025-01-28,Transferência,Concluída
91,822,15,2025-02-19,Boleto,Concluída
92,116,12,2025-09-03,Cartão,Concluída
93,424,8,2025-11-14,Cartão,Concluída
94,334,18,2025-02-19,Cartão,Concluída
95,909,19,2025-11-22,Cartão,Concluída
96,307,19,2025-12-14,Transferência,Concluída
97,368,4,2025-05-25,Cartão,Concluída
98,894,5,2025-03-10,Pix,Concluída
99,140,3,2025-03-12,Transferência,Concluída
100,243,17,2025-05-18,Boleto,Concluída
101,494,3,2025-03-14,Boleto,Cancelada
102,481,19,2025-06-19,Boleto,Concluída
103,756,20,2025-01-14,Transferência,Concluída
104,136,20,2025-05-24,Boleto,Concluída
105,757,5,2025-12-04,Boleto,Concluída
106,149,20,2025-03-20,Transferência,Concluída
107,771,18,2025-04-30,Transferência,Concluída
108,941,9,2025-06-21,Boleto,Concluída
109,248,19,2025-04-10,Boleto,Concluída
110,702,15,2025-06-29,Boleto,Concluída
111,385,19,2025-04-05,Cartão,Concluída
112,284,2,2025-07-15,Boleto,Concluída
113,951,7,2025-11-09,Cartão,Concluída
114,669,1,2025-01-20,Transferência,Concluída
115,978,16,2025-03-04,Boleto,Concluída
116,785,10,2025-11-28,Cartão,Concluída
117,554,10,2025-09-13,Transferência,Concluída
